"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Fev/20";"Jan/20";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Competência";"Data de atualização"
"PLAMHEG PLANO DE ASSISTÊNCIA MEDICA E HOSPITALAR DO ESTADO DE GOIAS S/S LTDA (373141)";"Médico Hospitalar";"Pequeno";"91";"150";"   2,28";"   1,14";"   2,29";"   2,31";"   2,34";"   1,18";"0,00";"0,00";"0,00";"   1,23";"   1,23";"   1,21";"202002";"26/03/2020 09:14:21"
"PLANO ASSISTENCIAL SÃO LUCAS LTDA (363391)";"Médico Hospitalar";"Pequeno";"59";"63";"   4,67";"   4,72";"0,00";"0,00";"0,00";"0,00";"   2,40";"   2,40";"   4,80";"   2,41";"   2,42";"0,00";"202002";"26/03/2020 09:14:21"
"PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA (382281)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PLANO DE SAÚDE ANA COSTA LTDA. (360244)";"Médico Hospitalar";"Médio";"103";"68";"   1,66";"   3,21";"   4,23";"   4,42";"   3,58";"   3,37";"   4,27";"   4,46";"   3,64";"   2,53";"   2,54";"   2,84";"202002";"26/03/2020 09:14:21"
"PLANO DE SAUDE ASES LTDA. (411582)";"Médico Hospitalar";"Pequeno";"135";"147";"   1,19";"   1,19";"   2,37";"   4,72";"   5,29";"   3,51";"   2,33";"   3,47";"   4,03";"   2,86";"   1,71";"   2,84";"202002";"26/03/2020 09:14:21"
"PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA (420166)";"Médico Hospitalar";"Médio";"138";"141";"   1,14";"   1,13";"   0,75";"   0,37";"   0,74";"   1,85";"   2,20";"   1,82";"   0,72";"   0,36";"   1,07";"   0,71";"202002";"26/03/2020 09:14:21"
"PLANO DE SAUDE UNIFENAS (344010)";"Médico Hospitalar";"Pequeno";"35";"40";"  10,93";"  10,92";"  10,91";"0,00";"0,00";"0,00";"0,00";"  10,76";"  21,47";"  21,46";"  21,39";"  10,65";"202002";"26/03/2020 09:14:21"
"PLANO HOSPITAL SAMARITANO LTDA (411256)";"Médico Hospitalar";"Médio";"152";"142";"   0,92";"   1,13";"   1,70";"   2,05";"   2,08";"   2,12";"   2,16";"   1,83";"   0,86";"   1,12";"   1,14";"   1,54";"202002";"26/03/2020 09:14:21"
"PLANO SAÚDE SÃO FRANCISCO LTDA. (358053)";"Médico Hospitalar";"Pequeno";"40";"47";"   8,72";"   8,66";"   5,77";"   5,72";"   5,53";"   2,71";"   5,37";"   7,69";"   7,28";"   4,58";"   2,27";"0,00";"202002";"26/03/2020 09:14:21"
"PLASAC PLANO DE SAÚDE LTDA (306444)";"Médico Hospitalar";"Pequeno";"181";"106";"0,00";"   2,35";"   3,53";"   4,72";"   2,21";"   1,04";"0,00";"0,00";"0,00";"   0,99";"   1,98";"   1,99";"202002";"26/03/2020 09:14:21"
"PLENA SAÚDE LTDA (348830)";"Médico Hospitalar";"Médio";"38";"49";"   4,94";"   4,81";"   3,90";"   3,92";"   4,52";"   4,56";"   4,86";"   6,00";"   7,00";"   7,16";"   6,31";"   6,16";"202002";"26/03/2020 09:14:21"
"POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA (351270)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,21";"   1,22";"   1,23";"202002";"26/03/2020 09:14:21"
"POLICLIN SAÚDE S/A. (415693)";"Médico Hospitalar";"Médio";"131";"110";"   1,21";"   1,70";"   2,90";"   2,90";"   3,61";"   2,93";"   3,69";"   3,24";"   2,98";"   1,73";"   1,23";"   1,22";"202002";"26/03/2020 09:14:21"
"POLICON ASSISTENCIA MÉDICA LTDA - EPP (412228)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA (316903)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PORTO ALEGRE CLÍNICAS LTDA. (346870)";"Médico Hospitalar";"Médio";"185";"163";"   0,41";"   0,82";"   0,82";"   1,62";"   1,21";"   1,21";"   0,81";"   1,21";"   2,02";"   1,61";"   1,60";"   0,40";"202002";"26/03/2020 09:14:21"
"PORTO DIAS SAUDE LTDA. (415081)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PORTO SEGURO - SEGURO SAÚDE S/A (000582)";"Médico Hospitalar";"Grande";"63";"63";"   1,10";"   1,18";"   1,23";"   1,62";"   1,83";"   1,88";"   1,72";"   1,71";"   1,74";"   1,62";"   1,45";"   1,32";"202002";"26/03/2020 09:14:21"
"PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA (417491)";"Médico Hospitalar";"Pequeno";"181";"84";"0,00";"   3,05";"   3,05";"   2,95";"   2,84";"   5,47";"   5,35";"   2,63";"   5,13";"   7,48";"   7,27";"   7,09";"202002";"26/03/2020 09:14:21"
"POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS (419133)";"Médico Hospitalar";"Grande";"6";"8";"  10,29";"   9,88";"   8,05";"   8,15";"   8,62";"   6,68";"   5,79";"   4,73";"   4,85";"   6,44";"   7,50";"   8,33";"202002";"26/03/2020 09:14:21"
"PREMIUM SAÚDE EIRELI - ME (417823)";"Médico Hospitalar";"Médio";"57";"65";"   3,84";"   3,78";"   3,45";"   5,25";"   5,05";"   5,31";"   4,44";"   6,39";"   6,36";"   7,22";"   5,69";"   5,45";"202002";"26/03/2020 09:14:21"
"PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA. (413267)";"Médico Hospitalar";"Pequeno";"5";"6";" 138,46";" 184,05";" 229,36";" 227,96";" 181,27";" 225,56";" 179,37";" 178,04";" 220,59";" 262,39";" 260,87";"  86,58";"202002";"26/03/2020 09:14:21"
"PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA (302147)";"Médico Hospitalar";"Grande";"24";"31";"   4,53";"   4,32";"   4,88";"   5,01";"   5,20";"   4,78";"   4,51";"   4,76";"   5,15";"   5,35";"   5,11";"   4,75";"202002";"26/03/2020 09:14:21"
"PRO SALUTE SERVIÇOS PARA A SAÚDE LTDA. (369373)";"Médico Hospitalar";"Médio";"186";"193";"   0,41";"   0,41";"   0,41";"   0,61";"   1,03";"   1,63";"   2,22";"   2,00";"   1,59";"   1,38";"   1,57";"   1,94";"202002";"26/03/2020 09:14:21"
"PROASA - PROGRAMA ADVENTISTA DE  SAÚDE (310522)";"Médico Hospitalar";"Médio";"178";"185";"   0,48";"   0,48";"   0,97";"   0,97";"   1,47";"   1,97";"   1,99";"   1,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PROMED ASSISTENCIA MEDICA LTDA (348805)";"Médico Hospitalar";"Grande";"10";"10";"   8,42";"   8,96";"  11,34";"  12,19";"  12,88";"  10,59";"  10,14";"  10,33";"  11,00";"  11,94";"  12,87";"  11,17";"202002";"26/03/2020 09:14:21"
"PROMED ASSISTÊNCIA MÉDICA LTDA (410632)";"Médico Hospitalar";"Médio";"7";"6";"  13,01";"  12,29";"  10,46";"   8,53";"   6,16";"   4,12";"   4,00";"   4,38";"   6,92";"   7,35";"   6,95";"   5,27";"202002";"26/03/2020 09:14:21"
"PROMED BRASIL ASSISTÊNCIA MÉDICA LTDA. (346471)";"Médico Hospitalar";"Pequeno";"53";"44";"   6,03";"   9,70";"  10,19";"  11,28";"   7,52";"   6,96";"   5,73";"   4,37";"   7,31";"   5,90";"   6,95";"   3,40";"202002";"26/03/2020 09:14:21"
"PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A. (326861)";"Médico Hospitalar";"Médio";"68";"60";"   2,77";"   4,01";"   5,41";"   6,11";"   5,93";"   5,08";"   4,98";"   5,06";"   4,11";"   3,42";"   2,56";"   3,68";"202002";"26/03/2020 09:14:21"
"PRONTO SOCORRO CONDE DE MOREIRA LIMA (417475)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A (305626)";"Médico Hospitalar";"Pequeno";"118";"73";"   1,46";"   3,64";"   2,18";"   2,18";"   0,73";"   1,46";"   2,93";"   2,94";"   2,94";"   4,40";"   4,41";"   4,44";"202002";"26/03/2020 09:14:21"
"PRONTOMED NOVO HAMBURGO LTDA. (302490)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   0,88";"   0,87";"   0,86";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PRONTOMED PLANOS DE SAÚDE LTDA (301728)";"Médico Hospitalar";"Médio";"146";"155";"   0,96";"   0,97";"   0,49";"   1,00";"   1,53";"   2,31";"   2,06";"   1,80";"   1,29";"   1,81";"   1,04";"   2,62";"202002";"26/03/2020 09:14:21"
"QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA EIRELI (418170)";"Médico Hospitalar";"Médio";"50";"33";"   4,10";"   5,61";"   5,86";"   5,51";"   5,46";"   7,16";"   6,42";"   5,47";"   3,17";"   4,38";"   4,13";"   5,92";"202002";"26/03/2020 09:14:21"
"RBS PARTICIPAÇÕES S/A (418862)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,83";"   3,82";"   3,81";"   3,80";"   3,80";"   3,80";"0,00";"202002";"26/03/2020 09:14:21"
"REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (331317)";"Médico Hospitalar";"Médio";"62";"59";"   3,27";"   4,19";"   5,29";"   5,45";"   5,99";"   6,32";"   6,82";"   6,18";"   4,65";"   3,71";"   2,28";"   2,80";"202002";"26/03/2020 09:14:21"
"RIO DOCE SAÚDE (421359)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"202002";"26/03/2020 09:14:21"
"R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA (420271)";"Médico Hospitalar";"Pequeno";"25";"24";"  14,30";"  17,16";"  18,00";"  26,10";"  22,59";"  31,92";"  31,19";"  26,49";"  11,96";"   2,96";"   2,92";"   8,70";"202002";"26/03/2020 09:14:21"
"RN METROPOLITAN LTDA (414131)";"Médico Hospitalar";"Médio";"81";"77";"   2,21";"   2,79";"   1,97";"   2,15";"   0,98";"   0,98";"   0,39";"   0,58";"   0,58";"   1,17";"   1,18";"   1,79";"202002";"26/03/2020 09:14:21"
"RORAIMA ENERGIA S/A (416983)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SALUTAR SAÚDE SEGURADORA S.A. (000027)";"Médico Hospitalar";"Pequeno";"2";"1";" 243,22";" 268,87";" 323,28";" 334,68";" 325,22";" 301,93";" 311,39";" 321,08";" 272,57";" 245,85";" 227,83";" 231,50";"202002";"26/03/2020 09:14:21"
"SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A (335614)";"Médico Hospitalar";"Médio";"77";"56";"   2,47";"   4,52";"   6,10";"   6,89";"   6,72";"   6,25";"   6,04";"   5,56";"   6,37";"   5,53";"   6,36";"   6,13";"202002";"26/03/2020 09:14:21"
"SAMEL PLANO DE SAÚDE LTDA (367095)";"Médico Hospitalar";"Médio";"149";"145";"   0,94";"   1,08";"   1,10";"   0,63";"   0,64";"   0,79";"   1,21";"   1,24";"   1,55";"   1,31";"   1,20";"   0,47";"202002";"26/03/2020 09:14:21"
"SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA. (415901)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,93";"   3,84";"202002";"26/03/2020 09:14:21"
"SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA (340162)";"Médico Hospitalar";"Pequeno";"46";"66";"   7,99";"   4,50";"   3,32";"   2,18";"   2,17";"   3,25";"   4,35";"   4,38";"   3,28";"   1,09";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA (343676)";"Médico Hospitalar";"Pequeno";"55";"45";"   5,58";"   9,59";"   9,62";"   9,63";"   8,83";"   8,06";"   7,29";"   4,09";"   8,26";"   8,33";"   8,36";"   1,67";"202002";"26/03/2020 09:14:21"
"SAMP ESPÍRITO SANTO ASSISTÊNCIA MÉDICA LTDA. (342033)";"Médico Hospitalar";"Grande";"54";"58";"   1,75";"   1,64";"   1,95";"   2,28";"   2,33";"   1,80";"   1,34";"   1,20";"   1,73";"   1,86";"   1,62";"   1,59";"202002";"26/03/2020 09:14:21"
"SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI (408522)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MAUÁ SAÚDE (421197)";"Médico Hospitalar";"Pequeno";"76";"96";"   3,06";"   2,58";"   2,10";"   1,62";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA (342807)";"Médico Hospitalar";"Médio";"193";"177";"   0,38";"   0,57";"   0,57";"   0,76";"   0,38";"   0,38";"   0,58";"   1,36";"   1,36";"   0,98";"   0,79";"   0,59";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MISERICORDIA DE PONTA GROSSA (419338)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"0,00";"   0,86";"   0,85";"   0,86";"0,00";"0,00";"0,00";"0,00";"   0,86";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA (345091)";"Médico Hospitalar";"Médio";"183";"190";"   0,44";"   0,44";"   0,44";"   0,88";"   1,32";"   1,33";"   0,88";"   0,44";"   0,44";"   0,44";"   0,44";"0,00";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MISERICORDIA DE SÃO JOSÉ DO RIO PARDO - HOSPITAL SÃO VICENTE (353264)";"Médico Hospitalar";"Pequeno";"126";"195";"   1,34";"0,00";"0,00";"0,00";"   1,32";"   1,31";"   2,60";"   1,29";"   1,28";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MISERICÓRDIA DE TUPÃ (306045)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA (330116)";"Médico Hospitalar";"Pequeno";"95";"90";"   2,03";"   2,70";"   1,34";"   2,67";"   2,67";"   2,68";"   1,34";"   2,02";"   2,04";"   2,73";"   1,37";"   0,69";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS (344915)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SANTA CASA DE SAÚDE - SCS (420085)";"Médico Hospitalar";"Pequeno";"131";"102";"   1,26";"   2,51";"   3,75";"   3,74";"   6,21";"   3,72";"   4,95";"   1,24";"   1,23";"   1,23";"   1,23";"   1,23";"202002";"26/03/2020 09:14:21"
"SANTA HELENA ASSISTÊNCIA MÉDICA S/A. (355097)";"Médico Hospitalar";"Grande";"8";"7";"   9,18";"  10,21";"  12,16";"  14,00";"  17,77";"  27,29";"  36,48";"  32,29";"  20,39";"   8,28";"   6,28";"   5,65";"202002";"26/03/2020 09:14:21"
"SANTA LUZIA ASSISTENCIA MEDICA S.A. (358509)";"Médico Hospitalar";"Pequeno";"22";"26";"  15,74";"  16,02";"  16,32";"  16,69";"  18,35";"  18,19";"  18,24";"  11,22";"   5,85";"   4,64";"   4,87";"  12,02";"202002";"26/03/2020 09:14:21"
"SANTA RITA SAUDE S/A. (348180)";"Médico Hospitalar";"Médio";"89";"82";"   1,89";"   2,42";"   2,94";"   2,61";"   2,44";"   1,92";"   2,27";"   1,75";"   1,58";"   1,23";"   1,58";"   2,11";"202002";"26/03/2020 09:14:21"
"SANTA RITA SISTEMA DE SAUDE LTDA (413194)";"Médico Hospitalar";"Médio";"23";"20";"   7,06";"   8,19";"   6,77";"   6,20";"   6,75";"   8,72";"   8,73";"   9,91";"   9,40";"   9,77";"  11,00";"  12,88";"202002";"26/03/2020 09:14:21"
"SANTO ANDRÉ PLANOS DE ASSISTENCIA MÉDICA LTDA. (400190)";"Médico Hospitalar";"Médio";"26";"18";"   6,83";"   8,29";"  10,42";"   7,76";"   7,27";"   5,08";"   6,71";"   9,12";"  10,27";"   8,53";"   5,63";"   5,16";"202002";"26/03/2020 09:14:21"
"SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA (319180)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,77";"   1,75";"   1,73";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA (403962)";"Médico Hospitalar";"Pequeno";"143";"159";"   1,04";"   1,05";"   1,05";"   2,13";"   2,13";"   2,67";"   1,03";"   1,00";"   1,94";"   2,91";"   2,91";"   3,39";"202002";"26/03/2020 09:14:21"
"SÃO FRANCISCO SISTEMAS DE SAÚDE SOCIEDADE EMPRESÁRIA LIMITADA (302091)";"Médico Hospitalar";"Grande";"12";"13";"   7,43";"   7,19";"   6,20";"   6,00";"   5,62";"   5,38";"   4,71";"   4,68";"   4,59";"   4,90";"   4,43";"   4,16";"202002";"26/03/2020 09:14:21"
"SÃO LUCAS SAÚDE S/A (344362)";"Médico Hospitalar";"Médio";"151";"133";"   0,94";"   1,28";"   1,63";"   1,63";"   2,09";"   1,86";"   1,98";"   1,98";"   2,45";"   2,46";"   1,99";"   1,41";"202002";"26/03/2020 09:14:21"
"SAO PAULO TRANSPORTE S.A. (381799)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,27";"   2,28";"   2,29";"0,00";"202002";"26/03/2020 09:14:21"
"SAUDE - SISTEMA ASSISTENCIAL UNIFICADO DE EMPRESAS - SOCIEDADE SIMPLES (410047)";"Médico Hospitalar";"Médio";"45";"36";"   4,62";"   5,45";"   6,27";"   7,52";"   7,04";"   9,22";"   9,48";"  11,39";"  10,24";"  12,31";"  11,95";"  10,87";"202002";"26/03/2020 09:14:21"
"SAÚDE BRB - CAIXA DE ASSISTÊNCIA  (414310)";"Médico Hospitalar";"Pequeno";"96";"117";"   2,03";"   2,03";"   1,01";"0,00";"   2,03";"   4,05";"   5,07";"   4,05";"   3,04";"   2,03";"   1,01";"0,00";"202002";"26/03/2020 09:14:21"
"SAUDE CASSEB ASSISTENCIA MEDICA LTDA (418781)";"Médico Hospitalar";"Pequeno";"29";"46";"  13,46";"   8,82";"  10,07";"  11,32";"  16,11";"  17,43";"  16,97";"  16,04";"  15,71";"  19,28";"  15,10";"  18,08";"202002";"26/03/2020 09:14:21"
"SAUDE PAS - MEDICINA E ODONTO (409243)";"Médico Hospitalar";"Médio";"190";"166";"   0,39";"   0,78";"   1,16";"   0,77";"   1,15";"   1,51";"   1,49";"   1,47";"   1,82";"   2,16";"   1,78";"   1,05";"202002";"26/03/2020 09:14:21"
"SAÚDE SANTA TEREZA LTDA. (414930)";"Médico Hospitalar";"Médio";"215";"199";"0,00";"   0,38";"   1,14";"   1,13";"   1,90";"   2,64";"   3,46";"   2,88";"   1,79";"   0,95";"   0,47";"   0,47";"202002";"26/03/2020 09:14:21"
"SAÚDE SIM LTDA (320111)";"Médico Hospitalar";"Médio";"10";"8";"  10,86";"  12,06";"  11,68";"  14,77";"  15,76";"  15,84";"  16,26";"  17,18";"  23,88";"  22,93";"  19,72";"  12,27";"202002";"26/03/2020 09:14:21"
"SBC SAÚDE LTDA. (412058)";"Médico Hospitalar";"Pequeno";"105";"74";"   1,79";"   3,58";"   1,79";"   3,61";"   3,62";"   3,64";"   3,66";"   1,83";"   3,65";"   1,82";"   1,82";"0,00";"202002";"26/03/2020 09:14:21"
"SEPACO SAÚDE LTDA (407224)";"Médico Hospitalar";"Pequeno";"26";"32";"  13,93";"  13,91";"  13,86";"  13,82";"  13,76";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SERMED-SAÚDE LTDA. (303739)";"Médico Hospitalar";"Médio";"196";"201";"   0,36";"   0,36";"   0,53";"   0,17";"   0,17";"   0,17";"   0,69";"   0,85";"   1,02";"   1,04";"   1,59";"   1,26";"202002";"26/03/2020 09:14:21"
"SERPRAM - SERVIÇO DE PRESTAÇÃO DE ASSISTÊNCIA MÉDICO-HOSPITALAR S.A. (306649)";"Médico Hospitalar";"Médio";"201";"216";"   0,33";"   0,16";"   0,17";"   0,34";"   0,85";"   0,85";"   1,03";"   0,51";"   0,52";"   0,34";"   0,51";"   0,33";"202002";"26/03/2020 09:14:21"
"SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO) (345474)";"Médico Hospitalar";"Médio";"60";"57";"   3,42";"   4,27";"   3,83";"   4,25";"   2,97";"   4,22";"   4,21";"   4,62";"   3,77";"   2,93";"   3,34";"   2,08";"202002";"26/03/2020 09:14:21"
"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO (420077)";"Médico Hospitalar";"Médio";"132";"138";"   1,21";"   1,20";"   1,31";"   1,19";"   0,91";"   0,62";"   0,63";"   1,10";"   0,94";"   1,10";"   0,78";"   1,25";"202002";"26/03/2020 09:14:21"
"SIM - CAIXA DE ASSISTÊNCIA À SAÚDE (356476)";"Médico Hospitalar";"Médio";"215";"162";"0,00";"   0,82";"   3,24";"   3,19";"   2,36";"   0,39";"   1,16";"   1,16";"   0,77";"0,00";"   0,77";"   1,53";"202002";"26/03/2020 09:14:21"
"SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL (361011)";"Médico Hospitalar";"Médio";"76";"34";"   2,48";"   5,49";"   5,02";"   4,04";"   1,53";"   3,09";"   4,32";"   4,57";"   3,60";"   1,82";"   1,22";"   1,22";"202002";"26/03/2020 09:14:21"
"SISTEMA TOTAL DE SAÚDE LTDA. (402001)";"Médico Hospitalar";"Pequeno";"153";"166";"   0,94";"   0,93";"0,00";"0,00";"0,00";"0,00";"   0,92";"   0,92";"   0,91";"0,00";"0,00";"   0,90";"202002";"26/03/2020 09:14:21"
"SISTEMAS E PLANOS DE SAÚDE LTDA. (352586)";"Médico Hospitalar";"Médio";"157";"146";"   0,79";"   1,05";"   2,35";"   3,39";"   3,82";"   2,79";"   2,74";"   2,74";"   3,02";"   2,24";"   2,11";"   2,62";"202002";"26/03/2020 09:14:21"
"SMEDSJ - SERVIÇOS MÉDICOS SÃO JOSE LTDA (349755)";"Médico Hospitalar";"Pequeno";"41";"52";"   8,54";"   7,27";"   6,02";"   4,79";"   3,58";"   3,57";"   3,54";"   3,51";"   3,48";"   5,15";"   7,92";"  12,30";"202002";"26/03/2020 09:14:21"
"SMS - ASSISTÊNCIA MÉDICA LTDA (311405)";"Médico Hospitalar";"Pequeno";"18";"21";"  19,03";"  26,65";"  22,84";"  20,94";"  20,94";"  17,12";"  17,11";"  17,10";"  22,79";"  22,77";"  26,55";"  22,75";"202002";"26/03/2020 09:14:21"
"SMV SERVIÇOS MÉDICOS LTDA (349194)";"Médico Hospitalar";"Médio";"147";"213";"   0,95";"   0,24";"   0,94";"   0,70";"   1,65";"   1,42";"   1,91";"   1,71";"   2,25";"   2,06";"   1,29";"   0,52";"202002";"26/03/2020 09:14:21"
"SOBAM CENTRO MÉDICO HOSPITALAR S.A. (326500)";"Médico Hospitalar";"Grande";"30";"33";"   4,03";"   3,96";"   3,36";"   3,60";"   3,45";"   3,42";"   2,51";"   3,14";"   4,38";"   4,65";"   3,85";"   2,70";"202002";"26/03/2020 09:14:21"
"SOCIAL-SOCIEDADE ASSISTENCIAL E CULTURAL (315630)";"Médico Hospitalar";"Pequeno";"13";"13";"  31,71";"  62,57";" 153,37";" 239,28";" 200,38";" 109,69";"  52,63";" 103,09";"  75,50";"  49,67";"  24,45";"  72,76";"202002";"26/03/2020 09:14:21"
"SOCIEDADE BENECAP DE ASSISTÊNCIA À SAÚDE (415898)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SOCIEDADE BENEFICENTE DEZOITO DE JULHO (413721)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   1,10";"   1,12";"   1,13";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA (411809)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SOCIEDADE PORTUGUESA DE BENEFICÊNCIA (413372)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,61";"   1,61";"   1,60";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"SOMPO SAÚDE SEGUROS S.A. (000477)";"Médico Hospitalar";"Médio";"41";"37";"   4,85";"   5,39";"   6,06";"   6,37";"   6,21";"   6,59";"   6,46";"   7,00";"   5,90";"   5,60";"   4,86";"   5,05";"202002";"26/03/2020 09:14:21"
"S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL (324493)";"Médico Hospitalar";"Médio";"176";"120";"   0,49";"   1,46";"   1,46";"   1,46";"   0,97";"   0,98";"   0,49";"0,00";"   0,49";"   0,99";"   0,99";"   0,50";"202002";"26/03/2020 09:14:21"
